"","eip"
"1590",0.83
"1591",0.79
"1592",0.19
"1593",0.51
"1594",1
"1595",1
"1596",0.19
"1597",0.18
"1598",0.09
"1599",0.28
"1600",0.04
"1601",0.12
"1602",0.16
"1603",0.17
"1604",0.26
"1605",0.41
"1606",0.39
"1607",0.37
"1608",0.49
"1609",0.15
"1610",0.32
"1611",0.02
"1612",0.69
"1613",0.27
"1614",0.12
"1615",0.14
"1616",0.06
"1617",0.08
"1618",0.11
"1619",0.11
"1620",0.39
"1621",0.3
"1622",0.11
"1623",0.05
"1624",0.13
"1625",0.19
"1626",0.17
"1627",0.15
"1628",0.11
"1629",0.05
"1630",0.27
"1631",0.15
"1632",0.08
"1633",0.24
"1634",0.05
"1635",0.58
"1636",0.6
"1637",0.15
"1638",0.12
"1639",0.11
"1640",0.09
"1641",0.08
"1642",0.08
"1643",0.08
"1644",0.34
"1645",0.1
"1646",0.1
"1647",0.28
"1648",0.18
"1649",0.11
"1650",0.71
"1651",0.12
"1652",0.1
"1653",0.16
"1654",0.09
"1655",0.05
"1656",0.23
"1657",0.1
"1658",0.07
"1659",0.41
"1660",0.14
"1661",0.49
"1662",0.29
"1663",0.19
"1664",0.12
"1665",0.19
"1666",0.13
"1667",0.36
"1668",0.09
"1669",0.15
"1670",0.21
"1671",0.27
"1672",0.56
"1673",0.17
"1674",0.27
"1675",0.22
"1676",0.43
"1677",0.44
"1678",0.2
"1679",0.27
"1680",0.21
"1681",0.35
"1682",0.29
"1683",0.22
"1684",0.18
"1685",0.16
"1686",0.15
"1687",0.18
"1688",0.22
"1689",0.91
"1690",0.17
"1691",0.1
"1692",0.48
"1693",0.09
"1694",0.04
"1695",0.69
"1696",0.23
"1697",0.2
"1698",0.39
"1699",0.26
"1700",0.2
"1701",0.12
"1702",0.09
"1703",0.04
"1704",0.23
"1705",0.39
"1706",0.07
"1707",0.46
"1708",0.18
"1709",0.09
"1710",0.21
"1711",1
"1712",0.17
"1713",0.12
"1714",0.67
"1715",0.09
"1716",0.31
"1717",0.25
"1718",0.09
"1719",0.15
"1720",0.15
"1721",0.11
"1722",0.23
"1723",0.06
"1724",0.11
"1725",0.09
"1726",0.08
"1727",0.11
"1728",0.25
"1729",0.18
"1730",0.09
"1731",0.12
"1732",0.25
"1733",0.5
"1734",0.2
"1735",0.47
"1736",0.21
"1737",0.16
"1738",0.12
"1739",0.07
"1740",0.34
"1741",0.2
"1742",0.28
"1743",0.11
"1744",0.18
"1745",0.22
"1746",0.14
"1747",0.14
"1748",0.07
"1749",0.1
"1750",0.13
"1751",0.09
"1752",0.14
"1753",0.08
"1754",0.1
"1755",0.17
"1756",0.11
"1757",0.17
"1758",0.13
"1759",0.76
"1760",0.3
"1761",0.42
"1762",0.46
"1763",0.14
"1764",0.38
"1765",0.45
"1766",0.15
"1767",0.11
"1768",0.18
"1769",1
"1770",1
"1771",0.21
"1772",0.26
"1773",0.15
"1774",0.14
"1775",0.09
"1776",0.42
"1777",0.42
"1778",0.35
"1779",0.21
"1780",0.28
"1781",0.18
"1782",0.46
"1783",0.42
"1784",0.23
"1785",0.17
"1786",0.81
"1787",0.14
"1788",0.11
"1789",0.8
"1790",0.57
"1791",0.15
"1792",0.15
"1793",0.11
"1794",0.1
"1795",0.2
"1796",0.23
"1797",0.68
"1798",0.31
"1799",0.18
"1800",0.23
"1801",0.19
"1802",0.35
"1803",0.17
"1804",0.35
"1805",0.48
"1806",0.37
"1807",0.09
"1808",0.15
"1809",0.23
"1810",0.12
"1811",0.32
"1812",0.35
"1813",0.18
"1814",0.28
"1815",0.21
"1816",0.3
"1817",0.27
"1818",0.53
"1819",0.32
"1820",0.09
"1821",0.05
"1822",0.12
"1823",0.25
"1824",0.12
"1825",0.21
"1826",0.83
"1827",0.11
"1828",0.1
"1829",0.14
"1830",0.43
"1831",0.48
"1832",0.16
"1833",0.24
"1834",0.06
"1835",0.2
"1836",0.26
"1837",0.16
"1838",0.68
"1839",0.53
"1840",0.35
"1841",0.54
"1842",0.24
"1843",0.1
"1844",0.13
"1845",0.16
"1846",0.33
"1847",0.14
"1848",0.07
"1849",0.29
"1850",0.16
"1851",0.07
"1852",0.11
"1853",0.23
"1854",0.15
"1855",0.29
"1856",0.27
"1857",0.37
"1858",0.25
"1859",0.32
"1860",0.14
"1861",0.32
"1862",0.29
"1863",0.2
"1864",0.53
"1865",0.56
"1866",0.12
"1867",0.38
"1868",0.62
"1869",0.26
"1870",0.27
"1871",0.13
"1872",0.11
"1873",0.4
"1874",0.29
"1875",0.53
"1876",0.34
"1877",0.21
"1878",0.53
"1879",0.24
"1880",0.23
