"","eip"
"648",0.09
"649",0.2
"650",0.2
"651",0.25
"652",0.25
"653",0.55
"654",0.17
"655",0.14
"656",0.18
"657",0.16
"658",0.19
"659",0.19
"660",0.57
"661",0.21
"662",0.12
"663",0.42
"664",0.27
"665",0.91
"666",1
"667",0.71
"668",0.15
"669",0.44
"670",0.5
"671",0.22
"672",0.21
"673",0.15
"674",0.58
"675",0.25
"676",0.17
"677",0.2
"678",0.76
"679",0.32
"680",0.55
"681",0.32
"682",0.28
"683",0.35
"684",0.25
"685",0.47
"686",0.17
"687",0.24
"688",0.14
"689",0.13
"690",0.39
"691",0.23
"692",0.16
"693",0.32
"694",0.17
"695",0.59
"696",0.59
"697",0.51
"698",0.37
"699",0.31
"700",0.21
"701",0.34
"702",0.76
"703",0.42
"704",0.31
"705",0.22
"706",0.18
"707",0.08
"708",0.59
"709",0.18
"710",0.18
"711",0.16
"712",0.23
"713",0.49
"714",0.28
"715",0.17
"716",0.41
"717",0.16
"718",0.38
"719",0.13
"720",0.12
"721",0.15
"722",0.37
"723",0.42
"724",0.48
"725",0.37
"726",0.16
"727",0.11
"728",0.63
"729",0.11
"730",0.12
"731",0.21
"732",0.43
"733",0.12
"734",0.17
"735",0.13
"736",0.27
"737",0.73
"738",0.5
"739",0.99
"740",0.35
"741",0.66
"742",0.24
"743",0.07
"744",0.12
"745",0.11
"746",0.19
"747",0.15
"748",0.14
"749",0.21
"750",0.38
"751",0.04
"752",0.12
"753",0.06
"754",0.08
"755",0.43
"756",0.1
"757",0.13
"758",0.15
"759",0.15
"760",0.14
"761",0.1
"762",0.04
"763",0.16
"764",0.35
"765",0.13
"766",0.13
"767",0.1
"768",0.09
"769",0.1
"770",0.12
"771",0.25
"772",0.18
"773",0.13
"774",0.71
"775",0.38
"776",0.45
"777",0.34
"778",0.12
"779",0.11
"780",0.25
"781",0.18
"782",0.28
"783",0.21
"784",0.35
"785",0.26
"786",0.36
"787",0.48
"788",0.28
"789",0.47
"790",0.21
"791",0.16
"792",0.28
"793",0.24
