"","eip"
"626",0.18
"627",0.16
"628",0.2
"629",0.23
"630",0.46
"631",0.09
"632",0.5
"633",0.5
"634",0.12
"635",0.74
"636",0.16
"637",0.18
"638",0.29
"639",0.26
"640",0.12
"641",0.22
"642",0.22
"643",0.41
"644",0.74
"645",0.22
"646",0.25
"647",0.17
"648",0.23
"649",0.42
"650",0.45
"651",0.48
"652",0.35
"653",0.1
"654",0.11
"655",0.12
"656",0.17
"657",0.16
"658",0.56
"659",0.11
"660",0.28
"661",0.17
"662",0.98
"663",0.2
"664",0.7
"665",0.86
"666",1
"667",0.16
"668",0.19
"669",0.17
"670",0.29
"671",0.56
"672",0.27
"673",0.21
"674",0.57
"675",0.27
"676",0.12
"677",0.19
"678",0.57
"679",0.13
"680",0.22
"681",0.18
"682",0.4
"683",0.24
"684",0.66
"685",0.25
"686",0.15
"687",0.18
"688",0.39
"689",0.16
"690",0.36
"691",0.23
"692",0.19
"693",0.28
"694",0.17
"695",0.21
"696",0.33
"697",0.22
"698",0.66
"699",0.68
"700",0.36
"701",0.44
"702",0.55
"703",1
"704",0.19
"705",0.1
"706",0.15
"707",0.09
"708",0.24
"709",0.15
"710",0.06
"711",0.12
"712",0.12
"713",0.07
"714",0.19
"715",0.09
"716",0.17
"717",0.11
"718",0.27
"719",0.15
"720",0.06
"721",0.18
"722",0.1
"723",0.29
"724",0.14
"725",0.38
"726",0.28
"727",0.3
"728",0.18
"729",0.17
"730",0.18
"731",0.13
"732",0.07
"733",0.13
"734",0.16
"735",0.11
"736",0.33
"737",0.18
"738",0.1
"739",0.04
"740",0.06
"741",0.2
"742",0.15
"743",0.14
"744",0.15
"745",0.11
"746",0.13
"747",0.23
"748",0.05
"749",0.09
"750",0.12
"751",0.12
"752",0.31
"753",0.14
"754",0.08
"755",0.1
"756",0.29
"757",0.29
"758",0.01
"759",0.15
"760",0.07
"761",0.23
"762",0.36
"763",0.13
"764",0.34
"765",0.3
"766",0.23
"767",0.12
"768",0.15
"769",0.13
"770",0.26
"771",0.33
"772",0.05
"773",0.07
"774",0.35
"775",0.22
"776",0.1
"777",0.5
"778",0.09
"779",0.11
"780",1
"781",0.18
"782",0.1
"783",0.16
"784",0.22
"785",0.4
"786",0.27
"787",0.06
"788",0.15
"789",0.19
"790",0.16
"791",0.29
"792",0.41
"793",0.36
"794",0.15
"795",0.4
"796",0.2
"797",0.17
"798",0.31
"799",0.16
"800",0.6
"801",0.39
"802",0.51
"803",0.15
"804",0.35
"805",0.13
"806",0.14
"807",0.15
"808",0.22
"809",0.16
"810",0.43
"811",0.21
"812",0.16
"813",0.08
"814",0.14
"815",0.34
"816",0.1
"817",0.14
"818",0.16
"819",0.61
"820",0.56
"821",0.22
"822",0.14
"823",0.22
"824",0.15
"825",0.48
"826",0.15
"827",0.1
"828",0.3
"829",0.31
"830",0.21
"831",0.68
"832",0.11
"833",0.42
"834",0.13
"835",0.11
"836",0.12
"837",0.22
"838",0.13
"839",0.17
"840",0.15
"841",0.37
"842",0.14
"843",0.32
"844",0.17
"845",0.27
"846",0.09
"847",0.14
"848",0.11
"849",0.26
"850",0.35
"851",0.17
"852",0.08
"853",0.12
"854",0.18
"855",0.08
"856",0.24
"857",0.15
"858",0.16
"859",0.1
"860",0.07
"861",0.19
"862",0.15
"863",0.48
"864",0.09
"865",0.18
"866",0.24
"867",0.04
"868",0.23
"869",0.12
"870",0.27
"871",0.23
"872",0.31
"873",0.14
"874",0.1
"875",0.18
"876",0.08
"877",0.17
"878",0.06
"879",0.29
"880",0.18
"881",0.25
"882",0.07
"883",0.15
"884",0.23
"885",0.33
"886",0.11
"887",0.14
"888",0.29
"889",0.18
"890",0.17
"891",0.14
"892",0.15
"893",0.11
"894",0.09
"895",0.13
"896",0.13
"897",0.22
"898",0.16
"899",0.17
"900",0.11
"901",0.12
"902",0.85
"903",1
"904",0.29
"905",0.55
"906",0.1
"907",0.1
"908",0.38
"909",0.19
"910",0.24
"911",0.13
"912",0.15
"913",0.16
"914",0.16
"915",0.15
"916",0.17
"917",0.54
"918",0.5
"919",0.19
"920",0.22
"921",0.3
"922",0.17
"923",0.15
"924",0.24
"925",0.17
"926",0.19
"927",0.13
"928",0.56
"929",0.24
"930",0.15
"931",0.34
"932",0.3
"933",0.67
"934",0.22
"935",0.28
"936",0.4
"937",0.4
"938",0.14
"939",0.3
"940",0.82
"941",0.51
"942",0.22
"943",0.21
"944",0.17
"945",1
"946",1
"947",0.21
"948",0.25
"949",0.4
"950",0.08
"951",0.37
"952",0.27
"953",0.21
"954",0.12
"955",0.12
"956",0.32
"957",0.16
"958",0.13
"959",0.14
"960",0.14
"961",0.15
"962",0.16
"963",0.25
"964",0.22
"965",0.19
"966",0.28
"967",0.18
"968",0.19
"969",0.23
"970",0.23
"971",0.15
"972",0.31
"973",0.22
"974",0.44
"975",0.37
"976",0.26
"977",0.22
"978",0.61
"979",0.78
"980",0.08
"981",0.07
"982",0.15
"983",0.19
"984",0.36
"985",0.17
"986",0.08
"987",0.1
"988",0.77
"989",0.99
"990",0.78
"991",0.26
"992",0.34
"993",0.13
"994",0.38
"995",0.06
"996",0.12
"997",0.14
"998",0.07
"999",0.08
"1000",0.49
"1001",0.2
"1002",0.3
"1003",0.35
"1004",0.2
"1005",0.3
"1006",0.16
"1007",0.27
